"id";"idOriginEntry";"createDate";"content";"idUser";"category";"sentiment";"type"
1;"782389185625882624";"2016-10-02";"NLB 18u wins game 1 in New Orleans 3-0 behind Nicky Agosto's gem. Grant Rowell earned the save. Game 2 underway vs… https://t.co/R7YZGcXgdD";"1015704044";"";"";2
2;"782377009536204801";"2016-10-02";"Former NLB stars Reeves Martin and Jay Robinson spending time with NLB 18u in New Orleans tonight. Both now play at… https://t.co/i9umWFp2Vn";"1015704044";"";"";2
3;"782354161711079424";"2016-10-02";"NLB 18u honoring Jose Fernandez in New Orleans";"1015704044";"";"";2
4;"782353321940094976";"2016-10-02";"NLB 18u getting ready to play at Tulane. #16 #Fernandez #mlb #marlins https://t.co/SeRPjF0zX0";"1015704044";"";"";2
5;"782299113387884545";"2016-10-02";"""@EastCoastLimos: All set.  @KeithRogersECL #eSAX #ottawa #wedding #limo https://t.co/3JCMIOudGy"" styling is the new cool.";"1015704044";"";"";2
6;"781260737788448781";"2016-09-29";"One final Goodbye! R.I.P Joseito. #Respect16  jofez16 ?❤️ https://t.co/WBmOvykWxC";"1015704044";"";"";2
7;"780711441166807040";"2016-09-27";"WATCH: @Marlins & @Mets Pay Tribute To Jose Fernandez @JoFez16 #weare16  | Nathalie Rodriguez | 939 M I A https://t.co/rvfj4vW7lQ";"1015704044";"";"";2
8;"780650111420407808";"2016-09-27";"All respect to Don Mattingly for kissing the dirt that Jose stood on. Forever going to shed a tear thinking about… https://t.co/ppXIGZRzis";"1015704044";"";"";2
9;"780571120978292736";"2016-09-27";"This hurts my heart so terribly.  Such a sweet, bright soul who impacted so many, even his opponents. #JoFez16 https://t.co/Z6TXTKMIfA";"1015704044";"";"";2
10;"780292456021491712";"2016-09-26";"""There'll be a day where there won't be another day"" #RIPJoseFernandez #JoFez16 https://t.co/DMWe5ti8lb";"1015704044";"";"";2
11;"775777923890544641";"2016-09-14";"I'm raising money for LAST HOPE . Click to Donate:  https://t.co/5jk4Fvohrh via @gofundme";"1015704044";"";"";2
12;"769882671619141632";"2016-08-28";"My mom and dad had 10 kids and slept on the living room sofa. You don't need luxury for romance!";"1015704044";"";"";2
13;"768201690637934592";"2016-08-24";"Muscle car fighting domestic abuse! https://t.co/LAmI2wpixL @badkarmaimpala https://t.co/Qygt7iIfvk";"1015704044";"";"";2
14;"759867138110783488";"2016-08-01";"#SharkTank is hitting #100KPyramid tonight! https://t.co/2UplkbRkKg";"1015704044";"";"";2
15;"759859936046096386";"2016-08-01";"“Don’t be afraid to give up the good and go for the GREAT.” @LoriGreiner #SharkTank";"1015704044";"";"";2
16;"759854172397301760";"2016-08-01";".@robertherjavec has got this! #Sharknado4  https://t.co/ilvJP8Qfwa";"1015704044";"";"";2
17;"759516423072784384";"2016-07-31";"“Finding opportunity is a matter of believing it’s there.” @BarbaraCorcoran #SharkTank";"1015704044";"";"";2
18;"758602957776678912";"2016-07-28";"#SharkTank star Robert Herjavec offers to replace stolen prosthetic leg for California boy https://t.co/9r50W1EyvG https://t.co/GobTY5KtTR";"1015704044";"";"";2
19;"758510378892529665";"2016-07-28";"¡Atlético Nacional Rey de Copas! #CopaLibertadores https://t.co/C0q2GUFmPP https://t.co/XDgDtPD3ym";"1015704044";"";"";2
20;"758314387182538752";"2016-07-27";"#SharkTank fans- get your #Mompreneur & #RiseAndGrind cellphone sling by @TheSharkDaymond https://t.co/BJCDl9lsQp https://t.co/eRnh4d7nBR";"1015704044";"";"";2
21;"753758030378864640";"2016-07-15";"My Condolences Nice,  France ??. ??";"1015704044";"";"";2
22;"778558986136289280";"2016-09-21";"@indiatvnews @CHANDANSINGHHH @ImNikesh @lsdashora ""Seat-Belt"" Story is false, C Clarification &No Allegation Proved https://t.co/SUopUBuIWS";"103209236";"";"";2
23;"774243028642988032";"2016-09-09";"I just voiced my concern on the corruption I faced with certain individuals..Its No blame on any political party be it BJP, MNS or ShivSena";"103209236";"";"";2
24;"771361411821862912";"2016-09-01";"The said tweet has been deleted on the direction of DG News as it did not conform to editorial standards of AIR. https://t.co/iq43vuGVcZ";"103209236";"";"";2
25;"769863122366660608";"2016-08-28";".@al_kameeno can you make similar jokes on other religions too ?";"103209236";"";"";2
26;"769393812603019264";"2016-08-27";"Sir @ArvindKejriwal ji I want to gift ? you a T.V , washing machine, A/C and a fridge .... 

Of 'LG' ??";"103209236";"";"";2
27;"766630298599628801";"2016-08-19";"@ImNikesh Promised delivery date of your order is 21st Aug. It will reach you on or before the promised delivery date. Thanks! Mukti.";"103209236";"";"";2
28;"759687794952278016";"2016-07-31";"@VaniBagga @TajinderBagga Dude .. they are children. Let's keep them away from all this hate. I hope you will understand";"103209236";"";"";2
29;"759613078421983232";"2016-07-31";"I will talk to United Nations Chief https://t.co/KbUbY2LCuF";"103209236";"";"";2
30;"784002528262356992";"2016-10-06";"Something which has been on my mind since the past few days and I just had to say it. Not intending to offend anyon… https://t.co/dA96dR1SFQ";"1034200326";"";"";2
31;"781460656277053441";"2016-09-29";"I also congratulate the Prime Minister Shri @Narendramodi on taking a bold decision and showing true grit and mettle in crucial times. 3/3";"1034200326";"";"";2
32;"781460650576994304";"2016-09-29";"We are proud of our armed forces. They have once again exhibited exemplary courage and valour by destroying the anti India designs. 2/3";"1034200326";"";"";2
33;"781460387925483520";"2016-09-29";"Congratulations to the Indian Army on successful counter terrorism operations against terror groups and their launching pads. 1/3";"1034200326";"";"";2
